,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,92.0,10.0,9.0,10.0,10.0,10.0,10.0
1,95.0,10.0,10.0,10.0,10.0,10.0,10.0
2,90.0,8.0,8.0,9.0,8.0,9.0,8.0
3,88.0,10.0,9.0,10.0,10.0,10.0,9.0
4,97.0,10.0,10.0,10.0,10.0,10.0,10.0
5,91.0,9.0,9.0,10.0,10.0,10.0,9.0
6,88.0,9.0,7.0,10.0,10.0,10.0,9.0
7,91.0,9.0,9.0,10.0,9.0,10.0,9.0
8,100.0,10.0,10.0,10.0,10.0,10.0,10.0
9,78.0,9.0,9.0,9.0,10.0,10.0,9.0
10,96.0,10.0,10.0,10.0,10.0,9.0,10.0
11,99.0,10.0,10.0,10.0,10.0,10.0,10.0
13,97.0,10.0,10.0,10.0,10.0,9.0,10.0
14,76.0,10.0,9.0,10.0,8.0,10.0,7.0
15,95.0,10.0,10.0,10.0,10.0,10.0,10.0
16,96.0,10.0,10.0,10.0,10.0,10.0,10.0
17,99.0,10.0,10.0,10.0,10.0,10.0,10.0
18,99.0,10.0,10.0,10.0,10.0,10.0,10.0
19,95.0,10.0,10.0,10.0,10.0,10.0,9.0
20,100.0,10.0,9.0,10.0,9.0,10.0,10.0
21,91.0,9.0,9.0,10.0,9.0,10.0,9.0
22,99.0,10.0,10.0,10.0,10.0,10.0,10.0
23,93.0,10.0,9.0,10.0,10.0,10.0,9.0
24,90.0,9.0,9.0,10.0,10.0,10.0,9.0
25,100.0,10.0,10.0,10.0,10.0,10.0,10.0
26,87.0,9.0,9.0,8.0,8.0,9.0,8.0
28,95.0,9.0,10.0,10.0,10.0,10.0,9.0
29,77.0,7.0,5.0,9.0,9.0,8.0,8.0
30,93.0,9.0,9.0,10.0,10.0,10.0,9.0
31,95.0,10.0,10.0,10.0,10.0,10.0,10.0
32,89.0,9.0,9.0,9.0,9.0,9.0,9.0
33,96.0,10.0,9.0,10.0,10.0,9.0,10.0
34,97.0,10.0,10.0,10.0,10.0,10.0,9.0
